"","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"23","Cyclachaena xanthiifolia","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3234569
"24","Cyclachaena xanthiifolia","plant flowering begin","8/15/1912","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3234577
"25","Cyclachaena xanthiifolia","plant flowering begin","8/11/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3258674
"26","Cyclachaena xanthiifolia","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3258757
"27","Cyclachaena xanthiifolia","plant flowering begin","8/24/1920","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259136
"28","Cyclachaena xanthiifolia","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259215
"29","Cyclachaena xanthiifolia","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259224
"30","Cyclachaena xanthiifolia","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259229
"31","Cyclachaena xanthiifolia","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3259234
"32","Cyclachaena xanthiifolia","plant flowering begin","8/19/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3771170
"33","Cyclachaena xanthiifolia","whole plant growth form","herb",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Bo_Li20/publication/225686365_Weber_E_Sun_SG_Li_B_Invasive_alien_plants_in_China_diversity_and_ecological_insights_Biol_Invasions_10_1411-1429/links/544633740cf2f14fb80f2893/Weber-E-Sun-SG-Li-B-Invasive-alien-plants-in-China-diversity-and-ecological-insights-Biol-Invasions-10-1411-1429.pdf","Weber E","ewald.weber@uwinst.uzh.ch",NA,NA,NA,"public",3850065
"34","Cyclachaena xanthiifolia","seed mass","0.8","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3881601
"35","Cyclachaena xanthiifolia","seed mass","0.8","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3881675
"36","Cyclachaena xanthiifolia","seed mass","0.6","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3881696
"37","Cyclachaena xanthiifolia","seed mass","0.8","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3881712
"38","Cyclachaena xanthiifolia","leaf area","11922.04","mm2","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","D.K. Kunzmann","dkunzmann@gmx.de","Germany",NA,NA,"public",4427398
"39","Cyclachaena xanthiifolia","leaf area","11337.25","mm2","actual measurement (following LEDA data standards)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","D.K. Kunzmann","dkunzmann@gmx.de","Germany",NA,NA,"public",4427402
"40","Cyclachaena xanthiifolia","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk",NA,NA,NA,"public",4449528
"41","Cyclachaena xanthiifolia","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk",NA,NA,NA,"public",4549118
"42","Cyclachaena xanthiifolia","leaf area per leaf dry mass","20.7","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4576672
"43","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","130.82","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4576674
"44","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","159.71","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4576675
"45","Cyclachaena xanthiifolia","leaf dry mass","0.57382","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4576676
"46","Cyclachaena xanthiifolia","leaf area per leaf dry mass","26.33","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588165
"47","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","177.99","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588166
"48","Cyclachaena xanthiifolia","whole plant height","0.94","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588168
"49","Cyclachaena xanthiifolia","leaf area per leaf dry mass","20.7","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588171
"50","Cyclachaena xanthiifolia","leaf dry mass","1.29269","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588172
"51","Cyclachaena xanthiifolia","leaf area per leaf dry mass","17.23","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588173
"52","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","175.27","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588174
"53","Cyclachaena xanthiifolia","leaf area per leaf dry mass","26.85","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588176
"54","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","203.31","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588177
"55","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","137.65","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588179
"56","Cyclachaena xanthiifolia","leaf area per leaf dry mass","22.94","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588184
"57","Cyclachaena xanthiifolia","leaf area per leaf dry mass","27.73","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588185
"58","Cyclachaena xanthiifolia","leaf area per leaf dry mass","34.08","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588186
"59","Cyclachaena xanthiifolia","leaf area per leaf dry mass","26.85","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588187
"60","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","177.99","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588189
"61","Cyclachaena xanthiifolia","whole plant height","1.44","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588190
"62","Cyclachaena xanthiifolia","whole plant height","1.8","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588191
"63","Cyclachaena xanthiifolia","whole plant height","0.8","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588192
"64","Cyclachaena xanthiifolia","whole plant height","1.23","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588193
"65","Cyclachaena xanthiifolia","whole plant height","1.2","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588194
"66","Cyclachaena xanthiifolia","leaf dry mass","0.23283","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588195
"67","Cyclachaena xanthiifolia","leaf dry mass","0.53603","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588196
"68","Cyclachaena xanthiifolia","leaf dry mass","0.57382","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588197
"69","Cyclachaena xanthiifolia","leaf dry mass","0.23283","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588198
"70","Cyclachaena xanthiifolia","leaf dry mass","1.29269","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588199
"71","Cyclachaena xanthiifolia","leaf dry mass","0.57382","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588200
"72","Cyclachaena xanthiifolia","leaf dry mass","0.57382","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588201
"73","Cyclachaena xanthiifolia","leaf dry mass","0.40446","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588203
"74","Cyclachaena xanthiifolia","leaf dry mass","0.18042","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588204
"75","Cyclachaena xanthiifolia","leaf dry mass","0.79571","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588205
"76","Cyclachaena xanthiifolia","leaf dry mass","0.40446","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588206
"77","Cyclachaena xanthiifolia","leaf dry mass","0.40446","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588207
"78","Cyclachaena xanthiifolia","leaf dry mass","0.3941","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588210
"79","Cyclachaena xanthiifolia","whole plant height","1.3","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588211
"80","Cyclachaena xanthiifolia","leaf dry mass","0.3941","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588212
"81","Cyclachaena xanthiifolia","leaf dry mass","0.18042","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588213
"82","Cyclachaena xanthiifolia","leaf dry mass","0.79571","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588217
"83","Cyclachaena xanthiifolia","leaf dry mass","0.40446","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588218
"84","Cyclachaena xanthiifolia","leaf dry mass","0.53603","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588219
"85","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","159.71","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588220
"86","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","157.38","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588221
"87","Cyclachaena xanthiifolia","leaf dry mass per leaf fresh mass","182.89","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588222
"88","Cyclachaena xanthiifolia","leaf area per leaf dry mass","21.15","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de",NA,NA,NA,"public",4588223
