"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"72","Rubiaceae","Faramea","Faramea occidentalis","leaf dry mass","0.224","g","Radwag WTB 200 Precision Balance",8.721984,-83.5755,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3121727
"73","Rubiaceae","Alibertia","Alibertia edulis","seed mass","12.32","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3124420
"74","Rubiaceae","Macrocnemum","Macrocnemum roseum","Leaf lamina fracture toughness","301.19","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3124452
"75","Rubiaceae","Faramea","Faramea permagnifolia","diameter at breast height (1.3 m)","3.2","cm","diameter tape",8.680337,-83.5772,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124514
"76","Rubiaceae","Palicourea","Palicourea guianensis","leaf thickness","0.085","mm","lamina thickness is the thickness of the leaf lamina measured in regions that do not include primary or secondary veins.  Species means of the individual means of two leaves per individual for the lamina portion used in shearing test.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3124463
"77","Rubiaceae","Faramea","Faramea occidentalis","leaf fresh mass","1.124","g","Radwag WTB 200 Precision Balance",8.680244,-83.5774,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124489
"78","Rubiaceae","Faramea","Faramea occidentalis","leaf dry mass per leaf fresh mass","398.724","mg.g-1","LDMmg/LFMg",8.680094,-83.5779,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124544
"79","Rubiaceae","Faramea","Faramea occidentalis","leaf dry mass","0.355","g","Radwag WTB 200 Precision Balance",8.680087,-83.5772,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3124523
"80","Rubiaceae",NA,NA,"leaf nitrogen content per leaf dry mass","33.61344","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.9285,-85.4653,1225,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste"," 1 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",3132136
"81","Rubiaceae","Galium","Galium circae","whole plant height","0.3","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3135386
"82","Rubiaceae","Calycophyllum","Calycophyllum candidissimum","seed mass","0.87","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136590
"83","Rubiaceae","Calycophyllum","Calycophyllum candidissimum","leaf area per leaf dry mass","11.7814","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136591
"84","Rubiaceae","Calycophyllum","Calycophyllum candidissimum","stem wood density","0.568","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136592
"85","Rubiaceae","Coussarea","Coussarea curvigemma","leaf area per leaf dry mass","30.97","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136635
"86","Rubiaceae","Coussarea","Coussarea curvigemma","leaf area per leaf dry mass","32.42","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136636
"87","Rubiaceae","Faramea","Faramea occidentalis","leaf area per leaf dry mass","20.8","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136637
"88","Rubiaceae","Faramea","Faramea occidentalis","leaf area per leaf dry mass","16.51","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136644
"89","Rubiaceae","Faramea","Faramea occidentalis","leaf area per leaf dry mass","19.25","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136646
"90","Rubiaceae","Faramea","Faramea occidentalis","stem wood density","0.51","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136648
"91","Rubiaceae","Galium","Galium labradoricum","whole plant height","0.3","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3136652
"92","Rubiaceae","Galium","Galium concinnum","whole plant height","0.3","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3136654
"93","Rubiaceae","Genipa","Genipa americana","stem wood density","0.57","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136671
"94","Rubiaceae","Genipa","Genipa americana","leaf area per leaf dry mass","14.9","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136676
"95","Rubiaceae","Genipa","Genipa americana","leaf area per leaf dry mass","53.6","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136677
"96","Rubiaceae","Genipa","Genipa americana","stem wood density","0.68","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136678
"97","Rubiaceae","Genipa","Genipa americana","stem wood density","0.7","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136679
"98","Rubiaceae","Posoqueria","Posoqueria latifolia","leaf area per leaf dry mass","12.83","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136716
"99","Rubiaceae","Posoqueria","Posoqueria latifolia","leaf area per leaf dry mass","14.1","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136718
"100","Rubiaceae","Posoqueria","Posoqueria latifolia","leaf area per leaf dry mass","12.78","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136719
"101","Rubiaceae","Randia","Randia armata","leaf area per leaf dry mass","19.93","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136724
"102","Rubiaceae","Randia","Randia armata","leaf area per leaf dry mass","20.47","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136725
"103","Rubiaceae","Randia","Randia armata","leaf area per leaf dry mass","34.43","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136726
"104","Rubiaceae","Randia","Randia armata","stem wood density","0.8","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136728
"105","Rubiaceae","Tocoyena","Tocoyena pittieri","stem wood density","0.58","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136734
"106","Rubiaceae","Tocoyena","Tocoyena pittieri","leaf area per leaf dry mass","17.1","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136738
"107","Rubiaceae","Tocoyena","Tocoyena pittieri","leaf area per leaf dry mass","16.86","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136739
"108","Rubiaceae","Tocoyena","Tocoyena pittieri","stem wood density","0.64","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136740
"109","Rubiaceae","Tocoyena","Tocoyena pittieri","stem wood density","0.66","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3136741
