"Taxa","Specific Leaf Area","std.error","Leaf Lifespan","std.error","Max Plant Height","std.error","Max Plant Longevity","std.error","Seed Mass","std.error","Whole Plant Growth Form","Whole Plant Woodiness","Obs num","Error"
"Campanulaceae","20.0718992307692",2.42957171120715,"",,"0.835404666666667",0.258051668770251,"",,"0.0493605806451613",0.00370680297482049,"herb, shrub","herbaceous, woody",3013,
"Caprifoliaceae","25.7221395652979",0.992552994973847,"",,"2.0527013",0.647078858254129,"",,"4.21282024242424",0.944612163081508,"herb, shrub, vine","herbaceous, woody",3289,
"Carya","21.7127381718464",0.312066451989544,"",,"16.6631744450487",0.0167783287208741,"",,"",,"tree","woody",454202,
"Caryophyllaceae","20.2665361572308",3.06129894563598,"",,"0.451346153846154",0.0450045592997897,"",,"0.399141979166667",0.158851300072496,"herb","herbaceous, woody",6099,
"Casearia","21.5981938225",1.13197039238013,"",,"5.74661007502679",0.0934973202274553,"",,"5.22723076923077",1.25220162602865,"tree","woody",7855,
"Cassia","",,"",,"4.2576",3.0576,"",,"",,"","woody",324,
"Castanea","19.8887656822222",1.31008891210485,"",,"7.352792",0.132475961177977,"",,"",,"tree","woody",4185,
"Ceanothus","3.40488835394118",0.703412504188439,"",,"5.2242",2.51463959776877,"",,"6.26521428571429",0.727899108431885,"herb","woody",584,
"Cecropia","11.2044894627273",0.816990573096073,"",,"13.2924073529412",0.211197893235581,"",,"3.018",1.63503027494906,"tree","woody",3420,
"Celastrus","",,"",,"",,"",,"",,"liana, tree","woody",268,
"Celtis","33.0894101828205",2.05458012829186,"",,"14.6002366786679",0.0307071997517773,"",,"",,"liana, shrub, tree","woody",109862,
"Ceratiola ericoides","",,"",,"",,"40",,"",,"shrub","woody",8,
"Cercocarpus","4.12099318033333",0.543660476893414,"",,"4.11101813755321",0.0210395884756336,"",,"",,"","woody",28205,
"Combretaceae","20.1058709866667",1.34389732269355,"",,"8.24463934871099",0.183447168436029,"",,"9.4625",4.86541258099797,"liana, tree","woody",8238,
"Connarus","",,"",,"",,"",,"1271.61",202.176736462598,"liana","woody",562,
"Convolvulaceae","21.3133539095",7.38891242453779,"",,"8.25",6.75,"100",0,"106.093769230769",50.792919911947,"herb, liana, shrub, tree, vine","herbaceous, woody",2994,
"Corylus","23.3213333333333",6.91066666666667,"",,"6.49392",2.40965693956629,"",,"447.5033",,"shrub, tree","woody",644,
"Croton","22.4286271709524",1.06240973969043,"",,"5.34592164948454",0.403322015346549,"",,"10.0824",4.8245546465739,"shrub, tree","herbaceous, woody",3401,
"Cupressaceae","4.2992074631251",1.26418978237005,"68.095",38.705,"10.220435981517",0.0104007947622456,"300.5",115.18137870333,"24.7104106296296",9.50492020115539,"shrub, tree","woody",1288572,
"Cyclachaena xanthiifolia","24.456",1.5346836083629,"",,"1.24428571428571",0.123671168115811,"",,"0.75",0.05,"herb","",88,
"Dodonaea","9.145083745",0.174580744999999,"",,"6.7056",,"",,"",,"shrub","woody",292,
"Ephedra","",,"",,"",,"",,"49.6023333333333",14.9002304941158,"","woody",124,
"Ericaceae","11.2555788765854",0.626660921944137,"",,"11.4514889964428",0.0166222937763868,"39",0,"10.6923239506173",1.6046009270244,"herb, liana, shrub, tree","herbaceous, woody",202118,
"Eriogonum","0.144368864",,"",,"",,"",,"0.979333333333333",0.141288981136096,"herb","herbaceous, woody",427,
"Eugenia","20.7654928007654",0.905009640755032,"",,"5.78800441176471",0.121030373464742,"",,"211.980153846154",47.4432879538278,"tree","woody",7240,
"Euphorbiaceae","18.108917115817",0.539787976024088,"",,"10.0258707692308",0.058342062969054,"",,"33.270877388535",1.006799705023,"herb, liana, shrub, tree","herbaceous, woody",48447,
"Fabaceae","20.4259347621687",0.421622026410843,"",,"10.6840995790968",0.0241347020344179,"",,"2239.68137539377",431.410337414506,"herb, liana, shrub, tree, vine","herbaceous, woody",325023,
"Fagaceae","14.2574778845285",0.22851697062859,"5.5",0.5,"15.3750844431256",0.00594300353608407,"86.25",6.52125645211762,"3156.3745",269.400096331582,"shrub, tree","woody",4133409,
"Ficus","10.4911103966429",0.600875572382517,"",,"10.6285829787234",0.825834093487998,"",,"172.639",171.560365524097,"tree","woody",4509,
"Fraxinus","26.1286105387437",0.470148661020029,"5.7",,"16.678025221078",0.0153896213470771,"",,"24.469",5.83372399072839,"tree","woody",488102,
"Galium","12.1660465356667",5.64498535940094,"",,"0.449952416666667",0.0812417350048475,"",,"2.61245105263158",1.20466992074726,"herb, shrub","herbaceous, woody",2042,
"Gentianaceae","",,"",,"0.566666666666667",0.145296631451356,"",,"0.6574",0.569986455979438,"tree","herbaceous, woody",2141,
"Gustavia","22.7107925925926",1.13512128510865,"",,"21",,"",,"10774.5722857143",2110.92922968163,"tree","woody",929,
"Hedyosmum","22.129755712",0.76559532887362,"",,"",,"",,"",,"tree","woody",1171,
"Hieronyma","18.6027774714286",1.82510279541314,"",,"34",,"",,"6.41",1.89331279331581,"tree","woody",972,
"Hymenaea","9.2277",1.5877,"",,"11.7535157894737",0.477868764687906,"",,"54907.7913043478",13000.7546440056,"tree","woody",807,
"Ilex","13.2771746907679",1.25203676942121,"",,"7.22716900954361",0.0190799089766178,"",,"31.20907",,"shrub, tree","woody",109306,
"Inga","16.3746881670779",0.552409096211285,"",,"11.296815042735",0.20720045656984,"",,"499.045156862745",45.8380749300753,"tree","woody",13241,
"Iresine","",,"",,"24",,"",,"1",,"herb, liana","herbaceous, woody",134,
"Iva","",,"",,"",,"",,"2.07",0.73,"herb","",64,
"Juglans","22.90207042875",3.3244521961685,"",,"17.1572457630332",0.0378725102757315,"",,"9090.909",,"tree","woody",61423,
"Lamiaceae","30.2858747247716",1.09966843551859,"",,"2.05666758284024",0.269495668408532,"",,"2.75709065306122",0.787741335127641,"herb, liana, shrub, tree","herbaceous, woody",11203,
"Leitneria floridana","",,"",,"4.7244",0.1524,"",,"",,"","woody",3,
"Liliaceae","11.2277",10.9723,"",,"1.09166666666667",0.302879697423104,"",,"5.06510659459459",0.788948206237526,"herb","herbaceous, woody",1130,
"Lindernia","",,"",,"",,"",,"0.0024",,"","herbaceous",71,
"Liquidambar","19.5370337512381",1.33343460432678,"",,"14.4811833252671",0.0116697785154897,"",,"",,"tree","woody",1106144,
"Lysichiton","",,"",,"",,"",,"61.63",,"","herbaceous",7,
"Machaerium","15.1885262114444",1.68476850244498,"",,"",,"",,"",,"liana, tree","woody",2174,
"Magnolia","10.1097850102381",0.706813215714467,"",,"13.0217588545592",0.0240979749587901,"",,"",,"shrub, tree","woody",197523,
"Malpighiaceae","",,"",,"7.7147652173913",0.476657352780747,"",,"690.723125",133.053877939599,"liana, shrub, tree, vine","woody",4752,
"Malvaceae","25.3590016215882",0.908626243188167,"",,"19.0518577610106",0.0305265696670289,"",,"4485.03933695652",1892.72236408302,"herb, liana, shrub, tree","herbaceous, woody",143766,
"Mandevilla","",,"",,"",,"",,"",,"liana","woody",310,
"Melastomataceae","14.1587449193355",0.272405175900591,"",,"6.84875656565657",0.182445329307845,"",,"5228.12053333333",1130.48340045803,"herb, shrub, tree","herbaceous, woody",24071,
"Meliaceae","20.2316585527966",0.692477150816658,"",,"10.4349124963758",0.0780588882924197,"",,"224.3442",66.7021946839517,"tree","woody",24295,
"Micranthes","",,"",,"",,"",,"",,"herb","",96,
"Moraceae","24.1266379180394",0.828998683263267,"",,"11.2155120550404",0.0265889648299373,"",,"272.99327027027",56.2984774146529,"shrub, tree","herbaceous, woody",80258,
"Myrica","",,"",,"7.3152",0.928800885935347,"",,"14.794",5.839,"shrub, tree","woody",273,
"Myrsine","7.61234904463158",0.452697394433965,"",,"6.86482388059702",0.501284400925252,"",,"",,"tree","woody",3654,
"Myrtaceae","17.6695024797368",0.962540688528291,"",,"8.04018797202797",0.081940749438999,"",,"394.357740740741",77.0803699076766,"tree","herbaceous, woody",41452,
"Nyssa","22.9534414375758",1.2371102597508,"",,"14.4324826741685",0.0123091701729997,"102",0.577350269189626,"",,"tree","woody",851072,
"Olacaceae","19.3468393809091",1.01587743096559,"",,"14.5",3.5,"",,"183.9012",18.205319350124,"liana, tree","woody",6641,
"Onagraceae","13.0066185582222",4.96209119279472,"",,"1.1876",0.258993377374422,"",,"0.268219121951219",0.0579455208417754,"herb, tree","herbaceous, woody",2722,
"Opuntia","",,"",,"2.2336",2.0336,"",,"28.3278575",10.1923545602561,"shrub, tree","herbaceous, woody",419,
"Ostrya","29.88061264",1.88105585522374,"",,"10.8574708660278",0.0242338819521659,"40",0,"",,"tree","woody",99942,
"Oxalidaceae","57.02",,"",,"0.283333333333333",0.116666666666667,"",,"1.25034285714286",0.647227165116936,"herb","herbaceous, woody",866,
"Papaver","",,"",,"",,"",,"0.092",,"","herbaceous",288,
"Paullinia","19.3993585044444",0.711653968487447,"",,"",,"",,"21674.3541666667",11727.6567720715,"liana, vine","woody",2501,
"Pedicularis","",,"",,"0.4",,"",,"0.52275",0.0837509950189648,"herb","herbaceous",488,
"Phlox","0.187648874",0.047968842,"",,"0.7",0.251661147842358,"",,"3.62366666666667",1.2853242565378,"herb, shrub","herbaceous",195,
"Picea","3.62127925000028",0.322698968222916,"90",,"11.7166750246487",0.015232059148638,"",,"3.52420814285714",0.832424397819618,"tree","woody",749528,
"Pinus","8.66895871348508",0.993030072804388,"35.6666666666667",12.3333333333333,"14.8723418181503",0.00412914934301973,"",,"88.4651548235294",45.1736463249794,"tree","woody",6256705,
"Plantago","13.8343829083333",2.09097689255123,"",,"7.02986107176005",1.74461981416836,"",,"0.703330727272727",0.140405576316818,"herb","herbaceous",2229,
"Poaceae","26.3140581524463",0.544744095769966,"",,"0.368738958469945",0.00946210489000403,"",,"12.7436418846154",11.0707141100029,"herb, liana, tree","herbaceous, woody",69089,
"Polemoniaceae","4.44588848385714",2.75437811652931,"",,"0.479",0.193445082646213,"",,"0.934",0.201684768677546,"herb, shrub","herbaceous, woody",1075,
"Polygalaceae","",,"",,"2.54217142857143",2.07320978445022,"",,"",,"herb, liana, shrub","herbaceous, woody",3251,
"Polygonaceae","14.231055031619",2.03594120522633,"",,"5.26850123836127",0.128566578367616,"",,"6.77186667164179",2.54578001157978,"herb, liana, shrub, tree","herbaceous, woody",11086,
"Populus","11.5380039324963",0.766885162257941,"3.88",0.28,"16.2098726760908",0.0126029523102108,"",,"87.6351420696721",5.39232644740087,"tree","woody",742696,
"Portulacaceae","",,"",,"",,"",,"0.2875",0.1625,"herb","herbaceous",220,
"Potentilla","10.506823914",5.98639818636169,"",,"0.383333333333333",0.212785755580062,"",,"0.359791307692308",0.0858162234522558,"","herbaceous, woody",2293,
"Prosopis","12.5079132575",1.70055214570402,"",,"4.56970270496608",0.0164420591165155,"",,"24.81",15.57,"","woody",48099,
"Protium","13.5683884602459",0.245034190022471,"",,"14.4625",0.917400480327075,"",,"221.601",65.7992582339143,"liana, tree","woody",12730,
"Pseudotsuga","5.8043957236375",1.24170654110169,"",,"19.9085894831485",0.0232964183467953,"",,"12.3160275",1.35287982248594,"","woody",516812,
"Psychotria","19.2375785806667",0.958802864977377,"",,"5.06220350877193",0.257411361900304,"",,"23.3698",13.4800497138408,"herb, shrub, tree","herbaceous, woody",4886,
"Quercus","13.6199059217437",0.1843022075868,"6",,"15.3623759556099",0.00618648050111231,"86.25",6.52125645211762,"3271.98948",253.266106421001,"shrub, tree","woody",3814369,
"Ranunculaceae","11.459029797",2.65350742397262,"",,"0.820434782608696",0.242949732321578,"",,"1.35659038028169",0.224579212271088,"herb, liana, shrub","herbaceous, woody",6455,
"Rhamnaceae","22.4975978360056",0.751824625423725,"",,"4.0380896373057",0.090085246487089,"",,"10.608975",2.51915697093586,"herb, liana, shrub, tree","woody",6484,
"Rhododendron","10.2265226862667",1.78854262648879,"",,"7.9248",1.25672259468826,"",,"0.21725",0.0521989383672376,"shrub, tree","woody",4002,
"Rhus","10.91070689775",1.19143821729465,"",,"9.05608888888889",1.6737413231411,"",,"25.8681666666667",2.33499356768089,"shrub, tree","woody",772,
"Ribes","25.2760110285714",3.37966397335285,"",,"2.0931224",0.244831145470606,"",,"3.19178427586207",0.401612981711215,"shrub","woody",976,
"Rosaceae","16.7865937781986",0.444001014744272,"",,"13.0188419974536",0.0186859488988249,"",,"89.4785733636364",29.6778579117689,"herb, liana, shrub, tree, vine","herbaceous, woody",339124,
"Rubiaceae","9.18349679195624",0.429418974880678,"",,"5.56010168682927",0.106152698169215,"",,"139.4958285",23.5174985382917,"herb, liana, shrub, tree, vine","herbaceous, woody",46259,
"Rumex","24.12216",1.96495036742238,"",,"1.00045214285714",0.234777985376908,"",,"1.29048925",0.29284405707998,"","herbaceous, woody",1360,
"Sabal","",,"",,"9.06319969040248",0.0401217939820998,"",,"",,"tree","woody",27212,
"Salix","11.5229459608571",0.753203633671736,"",,"13.465084813595",0.0543916243101508,"",,"",,"herb, shrub, tree","woody",32334,
"Sambucus","19.9555392577143",5.05197178022731,"",,"7.950898",1.1394570004047,"",,"1.888606",,"shrub, tree","herbaceous, woody",496,
"Sanguisorba","24.8535261992857",3.59633156699976,"",,"0.33875",0.0539381651328142,"",,"5.84808108108108",0.668582229246958,"herb","herbaceous",220,
"Sapium","17.1397290909091",0.593162189920994,"",,"11.9686782608696",0.840314847998818,"",,"25.48925",11.2042417070129,"tree","woody",2194,
"Sarcobatus vermiculatus","",,"",,"",,"",,"",,"shrub","woody",4,
"Saxifragaceae","17.3123167725",16.8995232275,"",,"0.5",0.147196014438797,"",,"0.0967597826086957",0.022534881279923,"herb","herbaceous",1109,
"Schinus","7.84313726",,"",,"14.0208",3.3528,"",,"",,"","woody",123,
"Serenoa","",,"",,"6.2484",0.1524,"",,"",,"","woody",7,
"Spermacoce","",,"",,"",,"",,"",,"tree","herbaceous",193,
"Spiraea","14.4140748977778",2.66514925343677,"",,"",,"",,"0.091",0.009,"","woody",387,
"Spondias","35.488945",3.45650747482937,"",,"12.90574",1.2484366763605,"",,"638.6455",322.844053810759,"tree","woody",1504,
"Stellaria","35.88464",,"",,"0.38602275",0.0790707448063389,"",,"0.270313545454545",0.0653313822548849,"","herbaceous",524,
"Taxodium","12.44",4.64,"",,"16.556126262107",0.0231490870969977,"",,"",,"","woody",259132,
"Taxus brevifolia","9.2364782",0.896149623151871,"",,"6.03147540983607",0.104694069861328,"",,"30.9609666666667",0.438128559265935,"","woody",1750,
"Thalictrum","",,"",,"0.669",0.28872305069045,"",,"1.1886",0.295936243133551,"herb","herbaceous",561,
"Trema","17.331200969875",2.72769573968562,"",,"5.17533886010363",0.189803880530699,"",,"1.84266666666667",0.717927882481551,"","woody",783,
"Tsuga heterophylla","7.79185561171351",1.33959972289291,"50.4",,"17.6815454644108",0.0374328923972036,"",,"1.7774755",0.1374755,"tree","woody",162285,
"Tsuga mertensiana","",,"",,"12.5585632653061",0.0391846819242379,"",,"",,"tree","woody",74893,
"Ulmus","24.4110529115447",0.743695318896042,"",,"12.9815220729526",0.0155709740604715,"",,"",,"shrub, tree","woody",384868,
"Viburnum","13.6835170632028",0.865886613427374,"5.63528700340256",0.0162171910745025,"8.3502",0.780131464445693,"",,"",,"shrub, tree","woody",9241,
"Vitex","",,"",,"13.29665",2.01774023067887,"",,"",,"tree","woody",1110,
"Vitis","24.3079350825",1.23351316994906,"",,"12",,"",,"49.25462",15.347511883616,"herb, liana, tree, vine","woody",4457,
"Yucca","",,"",,"3.36053427386415",0.109723840795291,"",,"43.0792",10.8524370246196,"shrub","herbaceous, woody",439,
"Zanthoxylum","10.1394053788",0.810155352977328,"",,"11.3303637735849",0.332174000838751,"",,"11.8428571428571",1.32394325621716,"tree","woody",2601,
